Task,Method,Sampler,Model,Batch,Seed,Size,r2,mae,rmse,rmse-rel,pearson,spearman
qm9_homo,random,none,none,none,4,100,0.51273,0.51445,0.69804,0.69804,0.7243,0.68867
qm9_lumo,random,none,none,none,9,100,0.72646,0.41107,0.52301,0.52301,0.85727,0.8536
qm9_g298,random,none,none,none,9,100,0.46678,0.52556,0.73022,0.73022,0.68623,0.72569
logp,ensemble,none,none,none,0,100,0.50944,0.52578,0.7004,0.7004,0.73409,0.71131
polygas_He,random,none,none,none,8,100,0.683,0.34334,0.56303,0.56303,0.82874,0.84536
qm9_r2,random,none,none,none,1,100,0.45115,0.50598,0.74085,0.74085,0.68386,0.69845
sublimation,penultimate,none,none,none,2,100,0.57443,0.45366,0.65236,0.65236,0.76217,0.76422
qm9_h298,random,none,none,none,4,100,0.40694,0.56249,0.7701,0.7701,0.64638,0.6776
qm9_gap,random,none,none,none,9,100,0.6801,0.43541,0.5656,0.5656,0.83329,0.85209
polymer_density,random,none,none,none,2,100,0.52739,0.44954,0.68747,0.68747,0.75241,0.78242
polygas_O2,embedding,none,none,none,2,100,0.77128,0.29348,0.47825,0.47825,0.88206,0.89269
qm9_u298,random,none,none,none,4,100,0.52567,0.50011,0.68872,0.68872,0.72864,0.74652
polygas_CO2,embedding,none,none,none,6,100,0.74423,0.29815,0.50574,0.50574,0.86405,0.87786
polygas_He,embedding,none,none,none,0,100,0.72019,0.33285,0.52897,0.52897,0.85305,0.85852
polymer_density,ensemble,none,none,none,3,100,0.64431,0.38549,0.59639,0.59639,0.80911,0.7923
qm9_h298,random,none,none,none,3,100,0.61416,0.44041,0.62116,0.62116,0.78436,0.79283
qm9_gap,random,none,none,none,5,100,0.71462,0.41309,0.53421,0.53421,0.84737,0.85865
lipo,random,none,none,none,5,100,-0.06268,0.79111,1.03086,1.03086,0.28557,0.28473
qm9_lumo,random,none,none,none,7,100,0.77254,0.35905,0.47692,0.47692,0.87967,0.87742
polygas_CH4,penultimate,none,none,none,8,100,0.70841,0.32089,0.53999,0.53999,0.85048,0.86408
freesolv,random,none,none,none,3,100,0.75488,0.33266,0.49509,0.49509,0.87149,0.87699
sublimation,ensemble,none,none,none,8,100,0.71563,0.39669,0.53326,0.53326,0.85195,0.8279
qm9_gap,random,none,none,none,6,100,0.70248,0.419,0.54545,0.54546,0.8465,0.86136
lipo,random,none,none,none,0,100,0.16587,0.71209,0.91331,0.91331,0.46718,0.45177
qm9_u0,random,none,none,none,9,100,0.44646,0.52937,0.744,0.744,0.67791,0.72325
qm9_lumo,embedding,none,none,none,7,100,0.7793,0.35116,0.46978,0.46978,0.88608,0.88189
qm9_gap,random,none,none,none,4,100,0.67459,0.4385,0.57044,0.57044,0.83565,0.84925
qm9_cv,embedding,none,none,none,0,100,0.60136,0.46579,0.63138,0.63138,0.77958,0.79787
qm9_lumo,embedding,none,none,none,2,100,0.76882,0.36501,0.48081,0.48081,0.87979,0.87579
qm9_cv,embedding,none,none,none,1,100,0.64846,0.45496,0.5929,0.5929,0.81214,0.80943
qm9_cv,embedding,none,none,none,6,100,0.7121,0.3991,0.53656,0.53656,0.84433,0.84965
qm9_mu,embedding,none,none,none,1,100,0.09917,0.70021,0.94912,0.94912,0.41455,0.45381
qm9_cv,embedding,none,none,none,4,100,0.61206,0.47821,0.62285,0.62285,0.81546,0.81117
qm9_r2,embedding,none,none,none,8,100,0.54003,0.50979,0.67821,0.67821,0.7426,0.66904
qm9_zpve,penultimate,none,none,none,9,100,0.83703,0.31255,0.4037,0.4037,0.91676,0.91185
qm9_u298,embedding,none,none,none,4,100,0.54482,0.49596,0.67467,0.67467,0.76812,0.79386
qm9_cv,penultimate,none,none,none,8,100,0.60055,0.48353,0.63202,0.63202,0.77876,0.79129
qm9_h298,random,none,none,none,7,100,0.5311,0.47984,0.68476,0.68476,0.73177,0.76011
sublimation,embedding,none,none,none,8,100,0.71214,0.38277,0.53653,0.53653,0.8484,0.86059
bace,embedding,none,none,none,9,100,0.45519,0.54621,0.73811,0.73811,0.69295,0.67243
qm9_lumo,penultimate,none,none,none,3,100,0.77828,0.35878,0.47088,0.47088,0.88303,0.8797
qm9_lumo,penultimate,none,none,none,2,100,0.80096,0.33503,0.44614,0.44614,0.89497,0.88585
qm9_cv,penultimate,none,none,none,2,100,0.6505,0.45685,0.59119,0.59119,0.81,0.808
qm9_lumo,embedding,none,none,none,6,100,0.72596,0.4033,0.52348,0.52348,0.85723,0.85281
qm9_alpha,embedding,none,none,none,7,100,0.44186,0.55968,0.74709,0.74709,0.66836,0.68765
qm9_cv,penultimate,none,none,none,0,100,0.6743,0.43185,0.5707,0.5707,0.82188,0.82125
qm9_mu,embedding,none,none,none,2,100,0.22114,0.62747,0.88253,0.88253,0.5231,0.58409
qm9_mu,embedding,none,none,none,7,100,0.2691,0.62716,0.85492,0.85492,0.55484,0.58105
qm9_zpve,embedding,none,none,none,8,100,0.86351,0.28484,0.36944,0.36944,0.93093,0.92377
qm9_alpha,embedding,none,none,none,9,100,0.51396,0.49331,0.69717,0.69717,0.72826,0.74817
qm9_cv,penultimate,none,none,none,3,100,0.63695,0.44754,0.60254,0.60254,0.80421,0.81284
qm9_u0,penultimate,none,none,none,3,100,0.5239,0.50309,0.69,0.69,0.72754,0.75307
qm9_lumo,embedding,none,none,none,1,100,0.76917,0.36218,0.48045,0.48045,0.87709,0.86476
qm9_zpve,embedding,none,none,none,3,100,0.84707,0.30695,0.39106,0.39106,0.93031,0.92882
qm9_u0,penultimate,none,none,none,8,100,0.46875,0.54804,0.72887,0.72887,0.68949,0.70674
qm9_g298,penultimate,none,none,none,2,100,0.58483,0.48426,0.64434,0.64434,0.77278,0.77793
qm9_mu,penultimate,none,none,none,3,100,0.21829,0.63596,0.88414,0.88414,0.49135,0.54306
qm9_homo,penultimate,none,none,none,1,100,0.42804,0.5564,0.75628,0.75628,0.6566,0.61754
qm9_cv,penultimate,none,none,none,7,100,0.68161,0.42288,0.56426,0.56426,0.82928,0.83128
bace,random,none,none,none,8,100,0.50365,0.51081,0.70452,0.70452,0.72713,0.69683
qm9_mu,penultimate,none,none,none,9,100,0.16638,0.66104,0.91303,0.91303,0.47997,0.53525
qm9_homo,penultimate,none,none,none,5,100,0.38419,0.57995,0.78474,0.78474,0.62358,0.59537
qm9_lumo,penultimate,none,none,none,1,100,0.77589,0.34938,0.4734,0.4734,0.88188,0.88315
qm9_lumo,penultimate,none,none,none,7,100,0.79311,0.33966,0.45485,0.45485,0.89618,0.89932
qm9_u0,penultimate,none,none,none,7,100,0.5164,0.51259,0.69541,0.69541,0.72202,0.72774
sublimation,penultimate,none,none,none,0,100,0.61965,0.38908,0.61672,0.61672,0.79483,0.81763
qm9_gap,embedding,none,none,none,6,100,0.72709,0.40427,0.52241,0.52241,0.85557,0.86349
qm9_u0,penultimate,none,none,none,1,100,0.55199,0.45699,0.66933,0.66933,0.7513,0.77236
sublimation,embedding,none,none,none,9,100,0.6903,0.36699,0.55651,0.55651,0.833,0.83685
polygas_CH4,ensemble,none,none,none,1,100,0.79533,0.27887,0.4524,0.4524,0.89331,0.89135
qm9_mu,penultimate,none,none,none,5,100,0.1852,0.66569,0.90266,0.90266,0.45235,0.48158
qm9_g298,penultimate,none,none,none,8,100,0.48482,0.53687,0.71776,0.71776,0.70209,0.71007
qm9_r2,embedding,none,none,none,0,100,0.52957,0.51018,0.68588,0.68588,0.72814,0.65441
sublimation,penultimate,none,none,none,7,100,0.65724,0.40676,0.58546,0.58546,0.81088,0.81346
qm9_h298,penultimate,none,none,none,7,100,0.52557,0.48003,0.68879,0.68879,0.72518,0.74249
sublimation,random,none,none,none,4,100,0.66309,0.39181,0.58044,0.58044,0.83499,0.8336
polymer_density,random,none,none,none,4,100,0.50902,0.45705,0.7007,0.7007,0.77948,0.77915
qm9_alpha,embedding,none,none,none,4,100,0.42962,0.58213,0.75523,0.75523,0.69466,0.69734
esol,random,none,none,none,8,100,0.76782,0.35788,0.48185,0.48185,0.88236,0.86122
qm9_h298,embedding,none,none,none,3,100,0.51428,0.51404,0.69694,0.69694,0.72481,0.74964
qm9_h298,embedding,none,none,none,7,100,0.41477,0.55237,0.765,0.765,0.67221,0.70602
qm9_h298,embedding,none,none,none,2,100,0.49878,0.50844,0.70797,0.70797,0.70676,0.72109
qm9_gap,penultimate,none,none,none,7,100,0.75201,0.37699,0.49798,0.49798,0.8678,0.87696
qm9_u0,penultimate,none,none,none,5,100,0.46032,0.54708,0.73463,0.73463,0.69409,0.7165
qm9_gap,embedding,none,none,none,2,100,0.72691,0.39799,0.52258,0.52258,0.85809,0.86904
qm9_gap,random,none,none,none,0,100,0.75117,0.38168,0.49882,0.49882,0.86951,0.87372
qm9_h298,penultimate,none,none,none,1,100,0.54072,0.45121,0.6777,0.6777,0.73723,0.77358
qm9_gap,penultimate,none,none,none,0,100,0.70274,0.41628,0.54522,0.54522,0.83959,0.84265
qm9_r2,embedding,none,none,none,3,100,0.51513,0.50208,0.69633,0.69633,0.72176,0.70098
qm9_u0,penultimate,none,none,none,6,100,0.45654,0.55439,0.7372,0.7372,0.68812,0.68047
qm9_gap,penultimate,none,none,none,2,100,0.71762,0.39781,0.53139,0.53139,0.84857,0.86247
qm9_gap,penultimate,none,none,none,8,100,0.71094,0.41163,0.53764,0.53764,0.84524,0.85484
esol,penultimate,none,none,none,1,100,0.81628,0.30806,0.42862,0.42862,0.9098,0.90449
polymer_density,penultimate,none,none,none,4,100,0.62498,0.35554,0.61239,0.61239,0.79353,0.84972
esol,embedding,none,none,none,4,100,0.7942,0.33537,0.45365,0.45365,0.89335,0.8753
polymer_density,ensemble,none,none,none,2,100,0.61079,0.38173,0.62387,0.62387,0.78384,0.81763
freesolv,hallucinate,none,none,none,8,100,0.85031,0.27348,0.3869,0.3869,0.92286,0.90901
logp,ensemble,none,none,none,4,100,0.53574,0.48567,0.68137,0.68137,0.73773,0.72667
qm9_u0,embedding,none,none,none,4,100,0.55271,0.49216,0.6688,0.6688,0.75352,0.76696
qm9_gap,penultimate,none,none,none,5,100,0.74548,0.37876,0.5045,0.5045,0.86903,0.88212
qm9_lumo,penultimate,none,none,none,9,100,0.77027,0.36963,0.4793,0.4793,0.8827,0.87741
lipo,penultimate,none,none,none,7,100,0.22861,0.68423,0.87829,0.87829,0.51494,0.48697
logp,ensemble,none,none,none,2,100,0.54568,0.50845,0.67403,0.67403,0.76789,0.74367
bace,penultimate,none,none,none,4,100,0.43833,0.55216,0.74944,0.74944,0.68212,0.62417
polymer_tg,random,none,none,none,6,100,0.6933,0.41856,0.55381,0.55381,0.8355,0.83917
bace,penultimate,none,none,none,6,100,0.38606,0.57757,0.78354,0.78354,0.64298,0.59229
freesolv,hallucinate,none,none,none,9,100,0.81698,0.31096,0.42781,0.42781,0.9055,0.87185
qm9_homo,penultimate,none,none,none,4,100,0.48897,0.53219,0.71486,0.71486,0.70271,0.67317
qm9_h298,penultimate,none,none,none,6,100,0.52874,0.51642,0.68648,0.68648,0.74856,0.76587
polygas_N2,random,none,none,none,7,100,0.60954,0.38135,0.62487,0.62487,0.7949,0.79974
polymer_o2,penultimate,none,none,none,9,100,0.45948,0.25263,0.7352,0.7352,0.77984,0.3906
freesolv,ensemble,none,none,none,0,100,0.78497,0.3284,0.46371,0.46371,0.89071,0.87512
polymer_density,penultimate,none,none,none,9,100,0.52922,0.41762,0.68613,0.68613,0.75107,0.79414
sublimation,embedding,none,none,none,2,100,0.68916,0.38456,0.55753,0.55753,0.83172,0.83941
qm9_g298,penultimate,none,none,none,4,100,0.48906,0.51552,0.7148,0.7148,0.70455,0.71923
polygas_CH4,random,none,none,none,9,100,0.74767,0.32426,0.50233,0.50233,0.87388,0.88175
freesolv,ensemble,none,none,none,6,100,0.80561,0.30757,0.44089,0.44089,0.9031,0.86693
polymer_tg,embedding,none,none,none,4,100,0.70103,0.40936,0.54678,0.54678,0.84589,0.85771
qm9_alpha,penultimate,none,none,none,0,100,0.5393,0.49547,0.67875,0.67875,0.74134,0.75864
polymer_tg,random,none,none,none,5,100,0.67459,0.43511,0.57044,0.57044,0.82171,0.83902
polygas_He,penultimate,none,none,none,3,100,0.66166,0.36259,0.58167,0.58167,0.82513,0.84181
polymer_density,ensemble,none,none,none,8,100,0.66853,0.37421,0.57573,0.57573,0.821,0.80996
lipo,ensemble,none,none,none,9,100,0.211,0.69662,0.88825,0.88825,0.47821,0.44291
polygas_He,ensemble,none,none,none,9,100,0.72376,0.32255,0.52558,0.52558,0.85367,0.84111
qm9_alpha,penultimate,none,none,none,4,100,0.53633,0.51282,0.68094,0.68094,0.73751,0.73605
sublimation,hallucinate,none,none,none,1,100,0.7079,0.38407,0.54046,0.54046,0.84143,0.83004
sublimation,hallucinate,none,none,none,0,100,0.63877,0.41619,0.60103,0.60103,0.81055,0.80982
polygas_CO2,embedding,none,none,none,0,100,0.76951,0.30823,0.48009,0.48009,0.8778,0.89775
esol,ensemble,none,none,none,4,100,0.78068,0.3583,0.46831,0.46831,0.8839,0.84923
qm9_h298,penultimate,none,none,none,5,100,0.51892,0.48968,0.6936,0.6936,0.72325,0.75901
sublimation,hallucinate,none,none,none,9,100,0.67451,0.39885,0.57052,0.57052,0.83715,0.82263
polymer_density,ensemble,none,none,none,9,100,0.52284,0.42465,0.69077,0.69077,0.73103,0.80749
logp,ensemble,none,none,none,3,100,0.49225,0.53882,0.71257,0.71257,0.70248,0.68595
sublimation,hallucinate,none,none,none,3,100,0.70351,0.3811,0.54451,0.54451,0.83917,0.84011
sublimation,hallucinate,none,none,none,5,100,0.75767,0.35338,0.49227,0.49227,0.87508,0.85728
qm9_h298,penultimate,none,none,none,3,100,0.50114,0.51073,0.7063,0.7063,0.71917,0.74595
bace,ensemble,none,none,none,3,100,0.49672,0.52639,0.70942,0.70942,0.72207,0.68197
pcqm4mv2_small,random,none,none,none,7,100,0.48703,0.53484,0.71622,0.71622,0.70622,0.7097
qm9_gap,embedding,none,none,none,4,100,0.75662,0.37551,0.49334,0.49334,0.87411,0.88593
logp,penultimate,none,none,none,2,100,0.49575,0.50732,0.71011,0.71011,0.73056,0.73031
qm9_h298,penultimate,none,none,none,0,100,0.55162,0.46078,0.66961,0.66961,0.74274,0.77971
polymer_tg,penultimate,none,none,none,1,100,0.68181,0.41586,0.56408,0.56408,0.83128,0.84519
polygas_H2,hallucinate,none,none,none,7,100,0.73924,0.34126,0.51065,0.51065,0.86067,0.85297
sublimation,hallucinate,none,none,none,4,100,0.72613,0.35563,0.52333,0.52333,0.85539,0.84243
chain_gap,random,none,none,none,4,100,0.68944,0.3804,0.55728,0.55728,0.83425,0.86285
polygas_N2,embedding,none,none,none,5,100,0.7177,0.33117,0.53132,0.53132,0.84818,0.87001
bace,ensemble,none,none,none,5,100,0.37868,0.59618,0.78824,0.78824,0.64702,0.60866
polygas_CO2,penultimate,none,none,none,5,100,0.8052,0.28389,0.44136,0.44136,0.8983,0.91273
polygas_CO2,ensemble,none,none,none,3,100,0.76413,0.28009,0.48567,0.48567,0.87455,0.89069
polygas_CO2,ensemble,none,none,none,0,100,0.78618,0.28059,0.46241,0.46241,0.88917,0.90204
polygas_CO2,hallucinate,none,none,none,0,100,0.76732,0.32449,0.48237,0.48237,0.87773,0.8994
polygas_He,hallucinate,none,none,none,0,100,0.80373,0.29156,0.44303,0.44303,0.89723,0.90194
polygas_CO2,embedding,none,none,none,4,100,0.68355,0.32501,0.56254,0.56254,0.83396,0.86599
chain_gap,embedding,none,none,none,0,100,0.68956,0.39987,0.55717,0.55717,0.8361,0.84984
pcqm4mv2_small,ensemble,none,none,none,7,100,0.58922,0.48902,0.64092,0.64092,0.77022,0.75259
esol,penultimate,none,none,none,7,100,0.73911,0.38345,0.51078,0.51078,0.86691,0.85213
freesolv,hallucinate,none,none,none,3,100,0.54782,0.50332,0.67245,0.67245,0.83234,0.73587
sublimation,ensemble,none,none,none,5,100,0.79065,0.32531,0.45755,0.45755,0.88996,0.8774
polygas_N2,hallucinate,none,none,none,0,100,0.80385,0.28358,0.44289,0.44289,0.89829,0.91227
qm9_alpha,penultimate,none,none,none,3,100,0.49834,0.50995,0.70828,0.70828,0.71154,0.73966
qm9_g298,random,none,none,none,7,100,0.46689,0.51403,0.73014,0.73014,0.69223,0.72081
polygas_N2,hallucinate,none,none,none,1,100,0.75219,0.33358,0.4978,0.4978,0.87133,0.88574
polygas_H2,hallucinate,none,none,none,1,100,0.78243,0.30022,0.46645,0.46645,0.88528,0.90292
polygas_He,hallucinate,none,none,none,9,100,0.75034,0.31005,0.49966,0.49966,0.86627,0.88771
qm9_alpha,random,none,none,none,2,100,0.50397,0.52027,0.70429,0.70429,0.71472,0.72977
pcqm4mv2_small,ensemble,none,none,none,5,100,0.56064,0.49462,0.66284,0.66284,0.74975,0.7502
pcqm4mv2_small,ensemble,none,none,none,0,100,0.62288,0.45343,0.6141,0.6141,0.79086,0.77804
qm9_lumo,random,none,none,none,4,100,0.74487,0.38429,0.5051,0.5051,0.87826,0.86812
polygas_He,hallucinate,none,none,none,8,100,0.64758,0.38014,0.59365,0.59365,0.80847,0.78974
polygas_H2,hallucinate,none,none,none,3,100,0.74939,0.3031,0.50061,0.50061,0.86722,0.88355
qm9_gap,penultimate,none,none,none,9,100,0.7196,0.40841,0.52953,0.52953,0.85017,0.85673
polygas_H2,hallucinate,none,none,none,5,100,0.77669,0.29567,0.47256,0.47256,0.88274,0.88838
polygas_CO2,hallucinate,none,none,none,8,100,0.70104,0.3472,0.54677,0.54677,0.8412,0.86021
polygas_CO2,hallucinate,none,none,none,2,100,0.74039,0.30715,0.50952,0.50952,0.86358,0.87679
freesolv,hallucinate,none,none,none,5,100,0.75558,0.36909,0.49439,0.49439,0.88657,0.85952
polygas_He,embedding,none,none,none,7,100,0.73471,0.31071,0.51507,0.51507,0.85782,0.88154
polygas_H2,penultimate,none,none,none,6,100,0.76156,0.30305,0.4883,0.4883,0.87812,0.89535
polygas_He,hallucinate,none,none,none,5,100,0.79743,0.28822,0.45008,0.45008,0.89463,0.89182
polygas_CH4,hallucinate,none,none,none,1,100,0.78117,0.30974,0.46779,0.46779,0.88505,0.89047
esol,random,none,none,none,3,100,0.7923,0.33029,0.45574,0.45574,0.89073,0.89075
qm9_mu,random,none,none,none,2,100,0.11459,0.68213,0.94096,0.94096,0.41558,0.46216
polygas_H2,hallucinate,none,none,none,2,100,0.73025,0.29906,0.51938,0.51938,0.85932,0.8746
polygas_He,hallucinate,none,none,none,6,100,0.72054,0.31827,0.52864,0.52864,0.85103,0.85217
sublimation,hallucinate,none,none,none,7,100,0.6649,0.41105,0.57888,0.57888,0.81962,0.81266
polygas_O2,hallucinate,none,none,none,1,100,0.65355,0.37319,0.5886,0.5886,0.81092,0.83742
qm9_h298,penultimate,none,none,none,2,100,0.57257,0.45623,0.65378,0.65378,0.76593,0.77299
polymer_density,hallucinate,none,none,none,5,100,0.66551,0.3927,0.57835,0.57835,0.8233,0.81582
polygas_CH4,penultimate,none,none,none,3,100,0.6072,0.40465,0.62673,0.62673,0.78729,0.77611
polygas_CO2,ensemble,none,none,none,6,100,0.71771,0.32498,0.53131,0.53131,0.84842,0.87029
polymer_density,embedding,none,none,none,4,100,0.62775,0.36843,0.61012,0.61012,0.79494,0.82159
qm9_r2,embedding,none,none,none,6,100,0.35843,0.57033,0.80098,0.80098,0.64321,0.64558
qm9_cv,penultimate,none,none,none,9,100,0.67528,0.4182,0.56984,0.56984,0.82307,0.83137
polygas_O2,ensemble,none,none,none,7,100,0.6956,0.35125,0.55172,0.55172,0.85666,0.86655
qm9_r2,embedding,none,none,none,2,100,0.52549,0.49702,0.68885,0.68885,0.74704,0.70244
qm9_cv,embedding,none,none,none,2,100,0.64625,0.44525,0.59477,0.59477,0.80698,0.81591
chain_gap,hallucinate,none,none,none,2,100,0.70617,0.40097,0.54206,0.54206,0.85151,0.86804
chain_gap,hallucinate,none,none,none,6,100,0.74702,0.35644,0.50297,0.50297,0.86751,0.88703
pcqm4mv2_small,penultimate,none,none,none,2,100,0.57237,0.48781,0.65393,0.65393,0.76178,0.75294
qm9_lumo,random,none,none,none,2,100,0.76832,0.36949,0.48133,0.48133,0.88418,0.87813
esol,ensemble,none,none,none,6,100,0.78579,0.34908,0.46283,0.46283,0.8904,0.8704
qm9_u298,random,none,none,none,5,100,0.63408,0.44434,0.60491,0.60491,0.79728,0.78672
qm9_u298,penultimate,none,none,none,6,100,0.51945,0.4995,0.69322,0.69322,0.72614,0.74552
qm9_u298,random,none,none,none,1,100,0.58296,0.45676,0.64578,0.64578,0.76655,0.78098
qm9_u298,random,none,none,none,6,100,0.56713,0.4762,0.65793,0.65793,0.75648,0.78409
qm9_mu,embedding,none,none,none,8,100,0.13051,0.69479,0.93247,0.93247,0.4238,0.45302
qm9_gap,random,none,none,none,1,100,0.72981,0.39518,0.51979,0.51979,0.85874,0.86354
polygas_CO2,hallucinate,none,none,none,9,100,0.71257,0.33666,0.53612,0.53612,0.84634,0.85883
qm9_r2,penultimate,none,none,none,3,100,0.51907,0.50551,0.69349,0.69349,0.72359,0.67629
pcqm4mv2_small,penultimate,none,none,none,3,100,0.50078,0.51792,0.70655,0.70655,0.73705,0.73216
qm9_r2,random,none,none,none,9,100,0.53167,0.49192,0.68435,0.68435,0.73116,0.71889
polymer_density,hallucinate,none,none,none,2,100,0.59916,0.39107,0.63312,0.63312,0.78782,0.81969
polymer_tg,ensemble,none,none,none,3,100,0.72567,0.39771,0.52376,0.52376,0.85519,0.8558
polymer_o2,ensemble,none,none,none,6,100,0.81529,0.2044,0.42978,0.42978,0.92487,0.30656
chain_gap,hallucinate,none,none,none,3,100,0.63746,0.42263,0.60211,0.60211,0.79992,0.82771
polygas_O2,hallucinate,none,none,none,0,100,0.7693,0.30328,0.48031,0.48031,0.87711,0.88973
polymer_o2,hallucinate,none,none,none,5,100,0.8841,0.2313,0.34045,0.34045,0.94891,0.19028
logp,penultimate,none,none,none,7,100,0.48905,0.53117,0.71481,0.71481,0.70259,0.69413
polygas_O2,hallucinate,none,none,none,9,100,0.75399,0.29394,0.496,0.496,0.87468,0.88788
chain_gap,hallucinate,none,none,none,0,100,0.69328,0.41076,0.55382,0.55382,0.83527,0.85946
qm9_mu,embedding,none,none,none,6,100,-0.10876,0.72647,1.05298,1.05298,0.46268,0.47134
qm9_alpha,random,none,none,none,5,100,0.48904,0.52262,0.71481,0.71481,0.70744,0.72069
chain_gap,hallucinate,none,none,none,1,100,0.68454,0.417,0.56166,0.56166,0.83255,0.83979
qm9_cv,embedding,none,none,none,7,100,0.64794,0.44311,0.59335,0.59335,0.81134,0.8219
qm9_mu,random,none,none,none,0,100,0.17438,0.66264,0.90864,0.90864,0.47775,0.52761
qm9_mu,embedding,none,none,none,4,100,0.1823,0.66341,0.90427,0.90427,0.47505,0.52144
bace,hallucinate,none,none,none,4,100,0.31539,0.64553,0.82741,0.82741,0.65402,0.59044
lipo,hallucinate,none,none,none,1,100,0.1155,0.74574,0.94048,0.94048,0.38949,0.33316
polygas_N2,hallucinate,none,none,none,5,100,0.74876,0.29586,0.50123,0.50123,0.86668,0.87535
qm9_r2,embedding,none,none,none,9,100,0.57165,0.48186,0.65449,0.65449,0.76044,0.71665
qm9_lumo,embedding,none,none,none,3,100,0.76249,0.36147,0.48735,0.48735,0.87406,0.8693
qm9_cv,ensemble,none,none,none,3,100,0.66511,0.43182,0.5787,0.5787,0.81591,0.81727
lipo,hallucinate,none,none,none,3,100,0.06299,0.74813,0.96799,0.96799,0.38299,0.34363
qm9_gap,embedding,none,none,none,3,100,0.73415,0.39322,0.51561,0.51561,0.85792,0.87066
qm9_gap,random,none,none,none,2,100,0.74308,0.38701,0.50687,0.50687,0.86369,0.875
qm9_r2,ensemble,none,none,none,1,100,0.51542,0.51923,0.69611,0.69611,0.72709,0.66714
