smiles,log10_H2_Bayesian
*Oc1ccc(C(=C(Cl)Cl)c2ccc(OC(*)=O)cc2)cc1,1.113943352
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(C(C)C)c2)cc1C(C)C,1.174317376
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(C)c2)cc1C,0.530869024
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(CC)c2)cc1CC,0.840165997
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1.4545043307857142
*Oc1ccc(C(C)(C)c2ccc(OC(=O)N(C)c3ccc(S(=O)(=O)c4ccc(N(C)C(*)=O)cc4)cc3)cc2)cc1,0.874774766
*Oc1ccc(C(CCC)(CCC)c2ccc(OC(*)=O)c(C)c2)cc1C,1.060041136
*Oc1ccc(C(CCCCC)(CCCCC)c2ccc(OC(*)=O)cc2)cc1,1.401142585
*Oc1ccc(C2(c3ccc(OC(*)=O)c(C)c3)CCCCC2)cc1C,0.169707719
*Oc1ccc(C2(c3ccc(OC(=O)c4ccc(C(*)=O)cc4)c(C)c3)CCCCC2)cc1C,0.777539604
*Oc1ccc(C2(c3ccc4c(c3)Oc3cc5nc6cc7c(cc6nc5cc3O4)C(C)(C)CC73CC(C)(C)c4cc5nc6cc(*)c(*)cc6nc5cc43)c3ccccc3-c3ccccc32)cc1O*,2.505149978
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,2.4355038700000002
*Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C(C)C)cc(C(C)(C)c4cc(C(C)C)c(*)c(C(C)C)c4)cc3C(C)C)cc2)cc1,2.199316864
*Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(C(C)(C)c4cc(C)c(*)c(C)c4)cc3C)cc2)cc1,1.673422668
